100
12
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13
15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17
19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17
19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 17
19 0 0 0 0 30 0 0 0 24 0 0 0 0 13 14 14 14 14 15 0 0 0 13 14 14 14 15 0 28 0 0 0 0 0 0 13 14 14 14 15 0 0 0 0 0 0 0 0 0 0 0 0 0 13 14 14 14 15 0 0 0 13 14 14 14 14 14 14 15 0 0 0 0 0 0 0 0 0 0 9 10 11 0 0 16 0 0 9 10 11 0 0 0 0 0 0 0 0 17
19 0 0 0 0 0 0 0 0 0 0 0 0 0 17 1 1 1 1 19 0 0 0 17 18 18 18 19 0 12 0 0 0 0 0 0 17 1 1 1 19 0 0 0 0 0 0 0 0 0 0 0 29 0 17 1 1 1 19 8 0 0 17 1 1 1 1 1 1 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 17
19 0 0 28 0 0 0 0 29 0 13 14 14 14 6 1 1 1 1 19 0 0 0 17 18 18 18 19 0 16 0 0 12 0 0 0 17 1 1 1 19 0 28 0 12 0 0 0 12 0 0 0 13 14 6 1 1 1 19 0 0 0 17 1 1 1 1 1 1 19 0 0 0 0 0 0 0 0 29 0 0 0 0 0 13 14 15 0 0 0 0 28 0 0 0 0 0 29 0 17
7 14 14 14 14 14 14 14 14 14 6 1 1 1 1 1 1 1 1 19 0 0 0 17 18 18 18 19 0 16 0 0 16 0 0 0 17 1 1 1 7 14 14 14 14 14 14 14 14 14 14 14 6 1 1 1 1 1 19 0 0 8 21 22 22 22 22 22 22 23 0 0 0 0 0 0 13 14 14 14 14 14 14 14 6 1 7 14 14 14 14 14 14 14 14 14 14 14 14 6
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 19 0 0 0 17 18 18 18 19 0 16 0 0 16 0 0 0 17 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 19 0 0 0 17 18 18 18 19 0 16 0 0 16 0 0 0 17 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 19 8 0 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 17 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 19 0 0 0 17 18 18 18 19 0 16 0 0 16 0 0 0 17 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 19 0 9 10 10 10 10 10 10 10 10 10 11 0 0 0 0 0 17 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
